"contract_item","permission_status","scope","notes"
"run controlled preliminary RDOLS robustness estimations only for D12E queued candidates","ALLOWED_D12F","controlled preliminary robustness execution only","D12F must inherit D12E queue and D12B/D12C restrictions."
"use manual RDOLS wrapper only","ALLOWED_D12F","controlled preliminary robustness execution only","D12F must inherit D12E queue and D12B/D12C restrictions."
"use restricted dynamics only","ALLOWED_D12F","controlled preliminary robustness execution only","D12F must inherit D12E queue and D12B/D12C restrictions."
"use current D12C/D12E-approved variables only","ALLOWED_D12F","controlled preliminary robustness execution only","D12F must inherit D12E queue and D12B/D12C restrictions."
"write model cards and coefficient ledgers marked preliminary","ALLOWED_D12F","controlled preliminary robustness execution only","D12F must inherit D12E queue and D12B/D12C restrictions."
"compare signs and magnitudes across windows and lead/lag grids","ALLOWED_D12F","controlled preliminary robustness execution only","D12F must inherit D12E queue and D12B/D12C restrictions."
"run final manuscript estimation","BLOCKED_D12F","blocked without separate authorization","Blocked by D12E API contract."
"perform productive-capacity reconstruction","BLOCKED_D12F","blocked without separate authorization","Blocked by D12E API contract."
"perform utilization reconstruction","BLOCKED_D12F","blocked without separate authorization","Blocked by D12E API contract."
"perform elasticity recovery","BLOCKED_D12F","blocked without separate authorization","Blocked by D12E API contract."
"use q_omega","BLOCKED_D12F","blocked without separate authorization","Blocked by D12E API contract."
"run FM-OLS/IM-OLS nonlinear baseline","BLOCKED_D12F","blocked without separate authorization","Blocked by D12E API contract."
"use cointRegD as interacted baseline engine","BLOCKED_D12F","blocked without separate authorization","Blocked by D12E API contract."
"add dynamic corrections for interaction/generated terms","BLOCKED_D12F","blocked without separate authorization","Blocked by D12E API contract."
"estimate descriptive-only windows","BLOCKED_D12F","blocked without separate authorization","Blocked by D12E API contract."
"estimate blocked windows","BLOCKED_D12F","blocked without separate authorization","Blocked by D12E API contract."
