"protocol_item","asset_block","object_type","status","baseline_allowed","decision","evidence","next_step","notes"
"survival_schedule_role","ME_NRC","conceptual_distinction","LOCKED_PHYSICAL_SURVIVAL_INPUT","survival_role_only","Physical survival is distinct from remaining current-cost value.","Locked Weibull L and alpha parameters.","retain_for_future_GPIM_retirement_protocol",""
"age_price_net_value_schedule_role","ME_NRC","conceptual_distinction","UNRESOLVED_NET_VALUE_PROTOCOL","FALSE","No candidate net-value schedule is identified by locked observations.","All mechanically admissible schedules recover exact SFC fits while producing materially different normalized price paths.","S12D_A3_external_depreciation_age_price_anchor","FAAt402 and NFC output-price routes remain prohibited as baseline."
"productive_efficiency_schedule_role","ME_NRC","conceptual_distinction","NOT_CONSTRUCTED","FALSE","Productive service contribution remains a separate future object.","No productive-efficiency observations or protocol are used in S12D-A2.","defer_until_productive_service_protocol",""
"sfc_implicit_price_role","ME_NRC","conceptual_distinction","CONDITIONAL_DIAGNOSTIC_OUTPUT","FALSE","SFC price is conditional on the selected net-value schedule.","S12D-A and S12D-A2 recursive identities.","do_not_promote_before_schedule_lock","No final GPIM stock is constructed."
"SURVIVAL_ONLY_REJECTED","ME_NRC","schedule_decision","REJECTED","FALSE","Physical survival is not a net age-price schedule; equality is shown only as a prohibited boundary case.","Schedule registry and ME/NRC SFC recovery sensitivity table.","do_not_promote_to_baseline",""
"LINEAR_AGE_PRICE_CANDIDATE","ME_NRC","schedule_decision","SENSITIVITY_ONLY","FALSE","Transparent finite-life candidate retained from S12D-A, but no independent age-price evidence selects straight-line value decay.","Schedule registry and ME/NRC SFC recovery sensitivity table.","do_not_promote_to_baseline",""
"GEOMETRIC_AGE_PRICE_CANDIDATE","ME_NRC","schedule_decision","REQUIRES_EXTERNAL_JUSTIFICATION","FALSE","The geometric form and delta=1/L are protocol assumptions, not identified by the locked downstream observations.","Schedule registry and ME/NRC SFC recovery sensitivity table.","do_not_promote_to_baseline",""
"BEA_STYLE_DECLINING_BALANCE_CANDIDATE","ME_NRC","schedule_decision","REQUIRES_EXTERNAL_JUSTIFICATION","FALSE","Locked current-cost CFC anchors an aggregate declining-balance rate, but an aggregate CFC/net-stock ratio does not identify a vintage age-price profile or establish a BEA asset-specific depreciation form.","Schedule registry and ME/NRC SFC recovery sensitivity table.","do_not_promote_to_baseline",""
"HYBRID_SENSITIVITY_ONLY","ME_NRC","schedule_decision","SENSITIVITY_ONLY","FALSE","The blend measures schedule dependence and has no independent baseline interpretation.","Schedule registry and ME/NRC SFC recovery sensitivity table.","do_not_promote_to_baseline",""
"final_protocol_decision","ME_NRC","stage_gate_decision","REQUIRE_S12D_A3_EXTERNAL_DEPRECIATION_ANCHOR","FALSE","No schedule is defensibly baseline-lockable for both ME and NRC. S12D-B remains blocked.","Zero SFC residuals do not discriminate among schedules; aggregate CFC/net-stock rates do not identify vintage age-price profiles.","S12D_A3_external_depreciation_age_price_anchor","Decision B selected; decision A and C are not selected."
