"variable_id","display_name","previous_role","new_status","superseded_by","parking_reason","preserved_for","prohibited_use","notes"
"D01_gpim_core_capital_panel","D01 GPIM core capital panel","early GPIM repair output","SUPERSEDED_FOR_BASELINE","D06 K_capacity = ME + NRC","D06 refreeze supersedes older GPIM/Kcap baseline use","audit/provenance","baseline capacity-capital consumption","Historical output is preserved; not deleted."
"D01_gpim_gross_survival_panel","D01 GPIM gross survival panel","early GPIM survival output","SUPERSEDED_FOR_BASELINE","D06 refrozen ME/NRC stocks","D06 locks survival/warmup outcome","audit/provenance","baseline capacity-capital consumption","No survival rules are reopened."
"D02_initialization_sensitivity","D02 initialization sensitivity outputs","initialization diagnostic","DIAGNOSTIC_ONLY","D06 initialization warmup ledger","D06 records final guarded warmup state","audit/provenance","baseline object selection","No initialization rules are reopened."
"D03_S29C_price_deflator_outputs","D03 S29C price/deflator outputs","price-deflator audit","SUPERSEDED_FOR_BASELINE","D05/D06 pKN_guardian","D05/D06 guarded price-stock coherence supersedes conflicting price objects","audit/provenance","baseline pKN replacement","No pKN revision is made."
"D04_S12DB_source_price_seed_outputs","D04 S12D_B source price and seed audit","source price seed audit","SUPERSEDED_FOR_BASELINE","D05/D06 pKN_guardian","D05/D06 guarded pKN is the active valuation support","audit/provenance","baseline pKN replacement","No seed rule is reopened."
"S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B GPIM baseline construction","older GPIM baseline","SUPERSEDED_FOR_BASELINE","D06 refrozen K_capacity","Older GPIM contract conflicts with D06 baseline authority","audit/provenance","baseline capacity-capital consumption","Preserved only for provenance."
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","S29D asset-specific GPIM stock construction","older asset GPIM stock output","SUPERSEDED_FOR_BASELINE","D06 refrozen ME/NRC stocks","D06 refreeze supersedes prior S29D baseline use","audit/provenance","baseline capacity-capital consumption","Preserved only for provenance."
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION","S29E core capital aggregation","older aggregation","SUPERSEDED_FOR_BASELINE","D06 K_capacity = ME + NRC","Older aggregation may include objects outside D06 boundary","audit/provenance","baseline capacity-capital consumption","D07-0 authorizes only ME + NRC."
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","S29F total-capital analytical transformations","model transformation panel","PARKED_TRANSFORMATION","not_applicable","D07-0 is level/accounting only","future transformation pass","D07 level/accounting panel consumption","Logs, growth rates, intensities, and transformed panels remain parked."
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","S29K total-capital interface","total-capital consumer handoff","SUPERSEDED_FOR_BASELINE","D06 K_capacity = ME + NRC","Total-capital objects violate D06 capacity-capital boundary","audit/provenance","baseline capacity-capital consumption","Total capital is not baseline-authorized."
"K_total","Total capital object","total capital","BLOCKED_BOUNDARY_CONFLICT","D06 K_capacity = ME + NRC","Total capital is outside the capacity-capital boundary","none for baseline; audit only if present","baseline capacity capital","Explicitly blocked by D07-0."
"K_real_total","Real total capital object","real total capital","BLOCKED_BOUNDARY_CONFLICT","D06 K_capacity = ME + NRC","Total capital is outside the capacity-capital boundary","none for baseline; audit only if present","baseline capacity capital","Explicitly blocked by D07-0."
"K_current_total","Current-cost total capital object","current-cost total capital","BLOCKED_BOUNDARY_CONFLICT","D06 K_current_capacity_refrozen","Total capital is outside the capacity-capital boundary","none for baseline; audit only if present","baseline capacity capital","Explicitly blocked by D07-0."
"pKN_total","Total-capital pKN object","total capital valuation","BLOCKED_BOUNDARY_CONFLICT","D06 pKN_capacity","Total-capital price object is outside D06 boundary","audit only if present","baseline pKN support","Explicitly blocked by D07-0."
"IPP_baseline","IPP baseline capital candidate","frontier/capital candidate","PARKED_FRONTIER_CONTEXT","not_applicable","IPP is context/conditioning only","future frontier/context pass","baseline capacity capital","IPP is not capacity-building accumulation capital in D07-0."
"residential_baseline","Residential capital baseline candidate","residential capital candidate","DIAGNOSTIC_ONLY","not_applicable","Residential capital remains exclusion diagnostic","audit/exclusion diagnostic","baseline capacity capital","Residential is not baseline capacity capital."
"government_transportation_baseline","Government transportation capital baseline candidate","government transportation candidate","PARKED_FRONTIER_CONTEXT","not_applicable","Government transportation is context/conditioning only","future frontier/context pass","baseline capacity capital","Government transportation is not baseline capacity capital."
"q_omega_indexes","q_omega accumulated indexes","distribution transformation","PARKED_TRANSFORMATION","not_applicable","D07-0 parks transformations","future transformation/model pass","D07 level/accounting panel consumption","No q_omega index is constructed or consumed."
"logs_and_growth_rates","Logs, growth rates, first differences","transformation","PARKED_TRANSFORMATION","not_applicable","D07-0 is level/accounting only","future transformation/model pass","D07 level/accounting panel consumption","Includes log-levels such as y_real_nfc_gva_baseline."
"periodized_model_variants","Periodized model variants","model specification","PARKED_TRANSFORMATION","not_applicable","D07-0 does not build model variants","future model pass","D07 level/accounting panel consumption","No periodized regression-ready variables are authorized."
"stationarity_integration_classifications","Stationarity and integration classifications","econometric classification","PARKED_TRANSFORMATION","not_applicable","D07-0 does not run integration tests","future econometric pass","D07 level/accounting panel consumption","No I(1) or cointegration-ready panel is built."
"Shaikh_adjusted_corporate_surplus_objects","Shaikh-style adjusted corporate surplus objects","adjusted corporate surplus","CANDIDATE_ONLY_REQUIRES_CROSSWALK","not_applicable","Financial-sector and imputed-interest crosswalk unresolved","future semantic-crosswalk pass","baseline productive surplus","Shaikh appendix is operational guide, not binding replication target."
